CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,Exited,Tenure_Ratio,Balance_Per_Product,Active_Senior,Has_Balance,Is_Multi_Product,Gender_Male,Age_Group
490,31,3,145260.23,1,1,0,0.0967741935483871,72630.115,0,1,0,1,1
804,33,7,76548.6,1,1,0,0.21212121212121213,38274.3,0,1,0,1,1
850,36,7,0.0,1,1,0,0.19444444444444445,0.0,0,0,0,1,1
582,41,6,70349.48,2,1,0,0.14634146341463414,23449.826666666664,0,1,0,1,2
472,40,4,0.0,1,0,0,0.1,0.0,0,0,0,1,1
465,51,8,122522.32,1,0,1,0.1568627450980392,61261.16,0,1,0,0,3
556,61,2,117419.35,1,1,0,0.03278688524590164,58709.675,1,1,0,0,4
834,49,2,131394.56,1,0,1,0.04081632653061224,65697.28,0,1,0,0,2
660,61,5,155931.11,1,1,0,0.08196721311475409,77965.555,1,1,0,0,4
776,32,4,109421.13,2,1,0,0.125,36473.71,0,1,0,0,1
829,27,9,112045.67,1,1,1,0.3333333333333333,56022.835,0,1,0,0,0
637,39,9,137843.8,1,1,1,0.23076923076923078,68921.9,0,1,0,0,1
550,38,2,103391.38,1,1,0,0.05263157894736842,51695.69,0,1,0,1,1
776,37,2,103769.22,2,0,0,0.05405405405405406,34589.74,0,1,0,0,1
698,44,10,116363.37,2,0,0,0.22727272727272727,38787.79,0,1,0,1,2
585,36,5,146050.97,2,0,0,0.1388888888888889,48683.65666666667,0,1,0,1,1
788,33,5,0.0,2,0,0,0.15151515151515152,0.0,0,0,0,0,1
655,41,8,125561.97,1,0,1,0.1951219512195122,62780.985,0,1,0,1,2
601,42,1,98495.72,1,0,1,0.023809523809523808,49247.86,0,1,0,1,2
619,43,1,125211.92,1,1,0,0.023255813953488372,62605.96,0,1,0,1,2
656,45,5,127864.4,1,0,0,0.1111111111111111,63932.2,0,1,0,1,2
725,19,0,75888.2,1,0,0,0.0,37944.1,0,1,0,1,0
511,66,4,0.0,1,0,1,0.06060606060606061,0.0,0,0,0,0,4
614,51,4,40685.92,1,1,0,0.0784313725490196,20342.96,1,1,0,1,3
742,35,5,136857.0,1,0,0,0.14285714285714285,68428.5,0,1,0,1,1
687,27,9,152328.88,2,0,0,0.3333333333333333,50776.293333333335,0,1,0,0,0
555,33,1,56084.69,2,0,0,0.030303030303030304,18694.896666666667,0,1,0,1,1
684,56,8,78707.16,1,1,0,0.14285714285714285,39353.58,1,1,0,1,3
603,26,4,109166.37,1,1,0,0.15384615384615385,54583.185,0,1,0,1,0
751,36,6,169831.46,2,1,0,0.16666666666666666,56610.486666666664,0,1,0,0,1
581,34,1,101633.04,1,0,0,0.029411764705882353,50816.52,0,1,0,0,1
735,43,10,123180.01,2,1,0,0.23255813953488372,41060.003333333334,0,1,0,1,2
661,35,5,150725.53,2,1,0,0.14285714285714285,50241.84333333333,0,1,0,0,1
675,21,8,98373.26,1,0,0,0.38095238095238093,49186.63,0,1,0,0,0
738,58,2,133745.44,4,0,1,0.034482758620689655,26749.088,0,1,1,1,3
813,29,6,0.0,1,0,0,0.20689655172413793,0.0,0,0,0,1,0
657,37,0,163607.18,1,1,0,0.0,81803.59,0,1,0,0,1
604,25,5,157780.84,2,1,0,0.2,52593.613333333335,0,1,0,0,0
519,36,9,0.0,2,1,0,0.25,0.0,0,0,0,1,1
735,21,1,178718.19,2,0,0,0.047619047619047616,59572.73,0,1,0,0,0
664,55,8,0.0,2,1,0,0.14545454545454545,0.0,1,0,0,1,3
678,32,9,0.0,1,1,0,0.28125,0.0,0,0,0,0,1
757,33,5,77253.22,1,1,0,0.15151515151515152,38626.61,0,1,0,1,1
416,41,10,122189.66,2,0,0,0.24390243902439024,40729.886666666665,0,1,0,0,2
665,34,1,96645.54,2,0,0,0.029411764705882353,32215.179999999997,0,1,0,0,1
777,32,2,0.0,1,0,1,0.0625,0.0,0,0,0,0,1
543,36,3,0.0,2,0,0,0.08333333333333333,0.0,0,0,0,0,1
506,34,4,90307.62,1,1,0,0.11764705882352941,45153.81,0,1,0,0,1
493,46,4,0.0,2,0,0,0.08695652173913043,0.0,0,0,0,0,2
652,75,10,0.0,2,1,0,0.13333333333333333,0.0,1,0,0,0,4
750,22,3,121681.82,1,0,1,0.13636363636363635,60840.91,0,1,0,1,0
729,30,9,0.0,2,0,0,0.3,0.0,0,0,0,1,0
646,46,4,0.0,3,0,1,0.08695652173913043,0.0,0,0,1,0,2
635,28,3,81623.67,2,1,0,0.10714285714285714,27207.89,0,1,0,0,0
647,44,5,0.0,3,1,1,0.11363636363636363,0.0,0,0,1,0,2
808,45,7,118626.55,2,0,0,0.15555555555555556,39542.183333333334,0,1,0,1,2
524,36,10,0.0,2,0,0,0.2777777777777778,0.0,0,0,0,0,1
769,29,8,0.0,2,1,0,0.27586206896551724,0.0,0,0,0,1,0
730,42,4,0.0,2,1,0,0.09523809523809523,0.0,0,0,0,1,2
515,35,10,176273.95,1,1,0,0.2857142857142857,88136.975,0,1,0,1,1
773,41,9,102827.44,1,1,0,0.21951219512195122,51413.72,0,1,0,1,2
814,29,8,97086.4,2,1,0,0.27586206896551724,32362.13333333333,0,1,0,1,0
710,22,8,0.0,2,0,0,0.36363636363636365,0.0,0,0,0,1,0
413,34,9,0.0,2,0,0,0.2647058823529412,0.0,0,0,0,1,1
665,40,6,0.0,1,1,0,0.15,0.0,0,0,0,0,1
623,44,6,0.0,2,0,0,0.13636363636363635,0.0,0,0,0,0,2
738,31,9,82674.15,1,0,0,0.2903225806451613,41337.075,0,1,0,1,1
528,36,7,0.0,2,0,0,0.19444444444444445,0.0,0,0,0,1,1
670,65,1,0.0,1,1,1,0.015384615384615385,0.0,1,0,0,0,4
622,46,4,107073.27,2,1,1,0.08695652173913043,35691.090000000004,0,1,0,0,2
582,32,1,88938.62,1,1,0,0.03125,44469.31,0,1,0,1,1
785,36,2,99806.85,1,1,0,0.05555555555555555,49903.425,0,1,0,0,1
605,33,5,150092.8,1,0,0,0.15151515151515152,75046.4,0,1,0,1,1
479,35,9,92833.89,1,0,1,0.2571428571428571,46416.945,0,1,0,1,1
685,30,3,90536.81,1,1,0,0.1,45268.405,0,1,0,1,0
538,39,7,108055.1,2,0,0,0.1794871794871795,36018.36666666667,0,1,0,1,1
562,42,2,100238.35,1,0,0,0.047619047619047616,50119.175,0,1,0,1,2
675,36,9,106190.55,1,1,0,0.25,53095.275,0,1,0,1,1
721,28,9,154475.54,2,1,1,0.32142857142857145,51491.84666666667,0,1,0,1,0
628,30,9,132351.29,2,1,0,0.3,44117.09666666667,0,1,0,0,0
668,37,6,167864.4,1,0,0,0.16216216216216217,83932.2,0,1,0,0,1
506,41,1,0.0,2,0,0,0.024390243902439025,0.0,0,0,0,0,2
524,31,8,107818.63,1,0,1,0.25806451612903225,53909.315,0,1,0,0,1
699,34,4,185173.81,2,0,0,0.11764705882352941,61724.60333333333,0,1,0,1,1
828,34,8,129433.34,2,0,0,0.23529411764705882,43144.44666666666,0,1,0,1,1
674,39,6,120193.42,1,0,0,0.15384615384615385,60096.71,0,1,0,1,1
656,39,6,0.0,2,0,0,0.15384615384615385,0.0,0,0,0,0,1
684,48,10,126384.42,1,1,0,0.20833333333333334,63192.21,0,1,0,0,2
625,28,3,0.0,1,0,0,0.10714285714285714,0.0,0,0,0,0,0
432,42,9,152603.45,1,0,1,0.21428571428571427,76301.725,0,1,0,1,2
549,52,1,0.0,1,1,1,0.019230769230769232,0.0,1,0,0,0,3
625,56,0,148507.24,1,0,1,0.0,74253.62,0,1,0,1,3
828,41,7,0.0,2,0,0,0.17073170731707318,0.0,0,0,0,0,2
770,24,9,101827.07,1,0,0,0.375,50913.535,0,1,0,1,0
758,34,3,0.0,2,1,0,0.08823529411764706,0.0,0,0,0,0,1
795,33,9,130862.43,1,1,0,0.2727272727272727,65431.215,0,1,0,0,1
687,38,9,122570.87,1,1,0,0.23684210526315788,61285.435,0,1,0,1,1
686,25,1,0.0,2,1,0,0.04,0.0,0,0,0,1,0
789,39,7,124828.46,2,1,0,0.1794871794871795,41609.48666666667,0,1,0,1,1
589,50,5,144895.05,2,1,0,0.1,48298.35,0,1,0,0,2
461,34,5,63663.93,1,1,0,0.14705882352941177,31831.965,0,1,0,0,1
637,40,2,133463.1,1,1,0,0.05,66731.55,0,1,0,1,1
584,48,2,213146.2,1,0,1,0.041666666666666664,106573.1,0,1,0,0,2
579,35,1,129490.36,2,1,1,0.02857142857142857,43163.45333333333,0,1,0,0,1
756,44,10,137452.09,1,0,0,0.22727272727272727,68726.045,0,1,0,1,2
663,34,7,0.0,2,1,0,0.20588235294117646,0.0,0,0,0,1,1
682,43,5,125851.93,1,1,0,0.11627906976744186,62925.965,0,1,0,0,2
793,52,2,0.0,1,0,1,0.038461538461538464,0.0,0,0,0,1,3
691,31,5,40915.55,1,0,1,0.16129032258064516,20457.775,0,1,0,0,1
485,21,5,113157.22,1,1,0,0.23809523809523808,56578.61,0,1,0,0,0
635,29,8,138296.94,2,0,0,0.27586206896551724,46098.98,0,1,0,0,0
650,37,5,106967.18,1,0,0,0.13513513513513514,53483.59,0,1,0,1,1
735,44,9,120681.63,1,0,0,0.20454545454545456,60340.815,0,1,0,1,2
416,32,0,0.0,2,1,0,0.0,0.0,0,0,0,1,1
754,32,7,0.0,2,0,0,0.21875,0.0,0,0,0,0,1
535,48,9,0.0,1,0,1,0.1875,0.0,0,0,0,0,2
716,42,8,0.0,2,0,0,0.19047619047619047,0.0,0,0,0,1,2
539,37,2,127609.59,1,0,0,0.05405405405405406,63804.795,0,1,0,1,1
614,43,6,0.0,2,1,0,0.13953488372093023,0.0,0,0,0,0,2
706,57,7,0.0,1,0,1,0.12280701754385964,0.0,0,0,0,1,3
758,33,7,0.0,2,0,0,0.21212121212121213,0.0,0,0,0,0,1
586,28,2,0.0,2,1,0,0.07142857142857142,0.0,0,0,0,0,0
646,73,6,97259.25,1,1,0,0.0821917808219178,48629.625,1,1,0,0,4
631,33,4,123246.7,1,0,0,0.12121212121212122,61623.35,0,1,0,0,1
717,22,6,101060.25,1,1,0,0.2727272727272727,50530.125,0,1,0,0,0
684,30,2,0.0,2,0,0,0.06666666666666667,0.0,0,0,0,1,0
800,49,7,108007.36,1,0,0,0.14285714285714285,54003.68,0,1,0,0,2
721,36,2,0.0,2,1,0,0.05555555555555555,0.0,0,0,0,0,1
683,29,0,133702.89,1,0,1,0.0,66851.445,0,1,0,1,0
660,31,9,125189.75,2,1,0,0.2903225806451613,41729.916666666664,0,1,0,1,1
704,24,7,113034.22,1,0,1,0.2916666666666667,56517.11,0,1,0,0,0
615,41,9,109013.23,1,0,0,0.21951219512195122,54506.615,0,1,0,0,2
667,39,2,0.0,2,0,1,0.05128205128205128,0.0,0,0,0,0,1
682,24,9,57929.81,2,0,0,0.375,19309.936666666665,0,1,0,1,0
484,29,4,130114.39,1,0,0,0.13793103448275862,65057.195,0,1,0,0,0
628,27,5,95826.49,2,0,0,0.18518518518518517,31942.163333333334,0,1,0,1,0
480,44,10,129608.57,1,0,1,0.22727272727272727,64804.285,0,1,0,1,2
578,30,4,169462.09,1,0,0,0.13333333333333333,84731.045,0,1,0,1,0
512,40,5,0.0,2,1,0,0.125,0.0,0,0,0,1,1
484,35,7,133868.21,1,1,0,0.2,66934.105,0,1,0,0,1
510,30,0,0.0,2,1,0,0.0,0.0,0,0,0,0,0
606,36,5,190479.48,2,0,0,0.1388888888888889,63493.16,0,1,0,1,1
597,40,8,101993.12,1,1,0,0.2,50996.56,0,1,0,0,1
754,55,3,161608.81,1,0,1,0.05454545454545454,80804.405,0,1,0,0,3
850,45,2,122311.21,1,1,0,0.044444444444444446,61155.605,0,1,0,0,2
510,65,2,0.0,2,1,0,0.03076923076923077,0.0,1,0,0,1,4
778,45,1,162150.42,2,0,0,0.022222222222222223,54050.14000000001,0,1,0,0,2
636,42,2,0.0,2,1,0,0.047619047619047616,0.0,0,0,0,1,2
804,50,4,0.0,1,1,1,0.08,0.0,0,0,0,0,2
514,32,8,0.0,2,0,0,0.25,0.0,0,0,0,1,1
730,39,1,99010.67,1,0,0,0.02564102564102564,49505.335,0,1,0,0,1
525,37,0,0.0,1,1,0,0.0,0.0,0,0,0,0,1
616,30,5,0.0,2,1,0,0.16666666666666666,0.0,0,0,0,1,0
687,34,7,111388.18,2,0,0,0.20588235294117646,37129.39333333333,0,1,0,0,1
715,41,8,56214.85,2,0,1,0.1951219512195122,18738.283333333333,0,1,0,0,2
512,36,3,84327.77,2,0,0,0.08333333333333333,28109.256666666668,0,1,0,0,1
479,40,1,0.0,2,0,0,0.025,0.0,0,0,0,1,1
601,32,8,93012.89,1,0,0,0.25,46506.445,0,1,0,1,1
580,29,9,61710.44,2,0,0,0.3103448275862069,20570.146666666667,0,1,0,1,0
807,35,3,174790.15,1,1,0,0.08571428571428572,87395.075,0,1,0,1,1
616,32,6,0.0,2,1,0,0.1875,0.0,0,0,0,0,1
721,37,3,107720.64,1,1,0,0.08108108108108109,53860.32,0,1,0,1,1
501,57,10,0.0,2,1,0,0.17543859649122806,0.0,1,0,0,1,3
521,35,6,96423.84,1,0,0,0.17142857142857143,48211.92,0,1,0,1,1
850,30,2,141040.01,1,1,0,0.06666666666666667,70520.005,0,1,0,1,0
759,42,4,105420.18,1,1,0,0.09523809523809523,52710.09,0,1,0,1,2
516,50,5,0.0,1,1,1,0.1,0.0,0,0,0,1,2
711,38,2,129022.06,2,1,1,0.05263157894736842,43007.35333333333,0,1,0,0,1
512,33,3,176666.62,1,0,0,0.09090909090909091,88333.31,0,1,0,1,1
550,37,3,0.0,1,1,0,0.08108108108108109,0.0,0,0,0,1,1
608,41,3,89763.84,1,0,1,0.07317073170731707,44881.92,0,1,0,0,2
618,34,5,134954.53,1,1,0,0.14705882352941177,67477.265,0,1,0,1,1
643,45,5,0.0,1,0,1,0.1111111111111111,0.0,0,0,0,1,2
671,45,2,106376.85,1,1,0,0.044444444444444446,53188.425,0,1,0,1,2
689,33,2,161814.64,2,0,0,0.06060606060606061,53938.21333333334,0,1,0,1,1
603,31,8,0.0,2,1,0,0.25806451612903225,0.0,0,0,0,1,1
620,41,9,0.0,2,0,0,0.21951219512195122,0.0,0,0,0,0,2
676,34,1,63095.01,1,1,0,0.029411764705882353,31547.505,0,1,0,0,1
572,26,4,118287.01,2,0,0,0.15384615384615385,39429.003333333334,0,1,0,1,0
668,47,7,106854.21,1,1,1,0.14893617021276595,53427.105,0,1,0,1,2
695,46,7,49512.55,1,0,0,0.15217391304347827,24756.275,0,1,0,1,2
730,33,9,0.0,2,0,0,0.2727272727272727,0.0,0,0,0,0,1
807,43,1,105799.32,2,0,1,0.023255813953488372,35266.44,0,1,0,1,2
592,54,8,0.0,1,1,1,0.14814814814814814,0.0,1,0,0,1,3
726,31,9,114722.05,2,1,0,0.2903225806451613,38240.683333333334,0,1,0,0,1
514,30,7,0.0,1,1,0,0.23333333333333334,0.0,0,0,0,1,0
567,42,2,0.0,2,1,0,0.047619047619047616,0.0,0,0,0,1,2
850,33,10,0.0,1,0,1,0.30303030303030304,0.0,0,0,0,1,1
671,45,6,99564.22,1,1,1,0.13333333333333333,49782.11,0,1,0,1,2
670,37,4,170557.91,2,0,0,0.10810810810810811,56852.636666666665,0,1,0,1,1
694,30,9,0.0,2,1,0,0.3,0.0,0,0,0,0,0
547,39,6,74596.15,3,1,1,0.15384615384615385,18649.0375,0,1,1,0,1
751,50,2,96888.39,1,0,1,0.04,48444.195,0,1,0,1,2
594,29,3,130830.22,1,0,0,0.10344827586206896,65415.11,0,1,0,0,0
673,72,1,0.0,2,1,0,0.013888888888888888,0.0,1,0,0,1,4
610,40,0,0.0,2,0,0,0.0,0.0,0,0,0,1,1
512,37,1,0.0,2,1,0,0.02702702702702703,0.0,0,0,0,0,1
767,20,3,119714.25,2,1,0,0.15,39904.75,0,1,0,1,0
585,67,5,113978.97,2,1,0,0.07462686567164178,37992.99,1,1,0,0,4
763,42,6,100160.75,1,0,1,0.14285714285714285,50080.375,0,1,0,1,2
712,29,2,0.0,1,1,0,0.06896551724137931,0.0,0,0,0,0,0
539,43,3,116220.5,3,0,1,0.06976744186046512,29055.125,0,1,1,0,2
668,46,2,0.0,3,0,1,0.043478260869565216,0.0,0,0,1,0,2
703,28,2,81173.83,2,1,0,0.07142857142857142,27057.943333333333,0,1,0,1,0
662,38,4,0.0,2,0,0,0.10526315789473684,0.0,0,0,0,1,1
725,39,5,116803.8,1,0,0,0.1282051282051282,58401.9,0,1,0,0,1
703,37,8,105961.68,2,1,0,0.21621621621621623,35320.56,0,1,0,1,1
659,67,6,117411.6,1,1,1,0.08955223880597014,58705.8,1,1,0,1,4
523,34,7,0.0,2,0,0,0.20588235294117646,0.0,0,0,0,1,1
635,40,10,123497.58,1,0,1,0.25,61748.79,0,1,0,0,1
772,26,7,152400.51,2,0,0,0.2692307692307692,50800.170000000006,0,1,0,1,0
545,26,1,0.0,2,1,0,0.038461538461538464,0.0,0,0,0,0,0
634,24,8,103097.85,1,1,0,0.3333333333333333,51548.925,0,1,0,1,0
739,54,8,126418.14,1,0,1,0.14814814814814814,63209.07,0,1,0,1,3
771,36,5,77846.9,1,0,0,0.1388888888888889,38923.45,0,1,0,0,1
587,34,1,0.0,2,1,0,0.029411764705882353,0.0,0,0,0,0,1
681,79,0,0.0,2,1,0,0.0,0.0,1,0,0,0,4
544,37,2,79731.91,1,1,0,0.05405405405405406,39865.955,0,1,0,1,1
696,28,8,0.0,1,0,0,0.2857142857142857,0.0,0,0,0,1,0
766,41,0,0.0,2,1,0,0.0,0.0,0,0,0,1,2
727,34,10,0.0,2,1,0,0.29411764705882354,0.0,0,0,0,1,1
671,34,6,37266.67,2,0,0,0.17647058823529413,12422.223333333333,0,1,0,0,1
693,30,6,127992.25,1,1,0,0.2,63996.125,0,1,0,0,0
850,38,3,54901.01,1,1,0,0.07894736842105263,27450.505,0,1,0,1,1
732,42,9,108748.08,2,1,0,0.21428571428571427,36249.36,0,1,0,1,2
726,48,6,99906.19,1,0,0,0.125,49953.095,0,1,0,0,2
557,32,6,184686.41,2,0,0,0.1875,61562.136666666665,0,1,0,0,1
682,26,0,110654.02,1,1,0,0.0,55327.01,0,1,0,0,0
738,31,9,79019.8,1,1,0,0.2903225806451613,39509.9,0,1,0,1,1
531,36,9,99240.51,1,0,0,0.25,49620.255,0,1,0,0,1
498,34,2,0.0,2,1,0,0.058823529411764705,0.0,0,0,0,1,1
651,36,7,0.0,2,0,0,0.19444444444444445,0.0,0,0,0,1,1
549,39,7,0.0,1,0,1,0.1794871794871795,0.0,0,0,0,0,1
791,35,7,52436.2,1,0,0,0.2,26218.1,0,1,0,0,1
650,41,9,0.0,2,1,0,0.21951219512195122,0.0,0,0,0,1,2
733,34,3,100337.96,3,0,1,0.08823529411764706,25084.49,0,1,1,1,1
811,34,1,149297.19,2,1,0,0.029411764705882353,49765.73,0,1,0,0,1
707,30,8,0.0,2,0,0,0.26666666666666666,0.0,0,0,0,1,0
712,28,4,145605.44,1,1,0,0.14285714285714285,72802.72,0,1,0,1,0
706,37,7,0.0,2,1,0,0.1891891891891892,0.0,0,0,0,0,1
756,62,3,0.0,1,1,1,0.04838709677419355,0.0,1,0,0,1,4
777,53,10,0.0,2,0,0,0.18867924528301888,0.0,0,0,0,0,3
646,35,6,84026.86,1,1,0,0.17142857142857143,42013.43,0,1,0,1,1
714,46,1,0.0,1,0,1,0.021739130434782608,0.0,0,0,0,1,2
782,39,8,0.0,2,1,0,0.20512820512820512,0.0,0,0,0,1,1
775,29,10,0.0,2,1,0,0.3448275862068966,0.0,0,0,0,1,0
479,35,4,138718.92,1,1,1,0.11428571428571428,69359.46,0,1,0,1,1
807,42,7,118274.71,1,1,0,0.16666666666666666,59137.355,0,1,0,1,2
799,22,8,174185.98,2,1,0,0.36363636363636365,58061.99333333334,0,1,0,0,0
675,40,7,113208.86,2,0,0,0.175,37736.28666666667,0,1,0,1,1
602,29,5,103907.28,1,0,0,0.1724137931034483,51953.64,0,1,0,1,0
475,32,8,119023.28,1,0,0,0.25,59511.64,0,1,0,0,1
744,26,5,166297.89,1,1,0,0.19230769230769232,83148.945,0,1,0,0,0
588,34,10,0.0,2,0,0,0.29411764705882354,0.0,0,0,0,1,1
703,42,9,63227.0,1,1,0,0.21428571428571427,31613.5,0,1,0,1,2
747,41,5,94521.17,2,0,0,0.12195121951219512,31507.056666666667,0,1,0,0,2
583,27,7,0.0,2,0,0,0.25925925925925924,0.0,0,0,0,1,0
750,34,9,112822.26,1,0,1,0.2647058823529412,56411.13,0,1,0,0,1
681,38,3,0.0,2,1,0,0.07894736842105263,0.0,0,0,0,1,1
773,25,2,135903.33,1,0,0,0.08,67951.665,0,1,0,1,0
714,31,4,125169.26,1,1,0,0.12903225806451613,62584.63,0,1,0,0,1
687,44,7,0.0,3,0,1,0.1590909090909091,0.0,0,0,1,0,2
511,58,0,149117.31,1,1,0,0.0,74558.655,1,1,0,1,3
627,33,5,0.0,2,1,0,0.15151515151515152,0.0,0,0,0,1,1
694,31,10,0.0,2,0,0,0.3225806451612903,0.0,0,0,0,0,1
616,36,6,132311.71,1,0,0,0.16666666666666666,66155.855,0,1,0,0,1
687,35,8,0.0,2,0,0,0.22857142857142856,0.0,0,0,0,1,1
712,33,6,0.0,2,1,0,0.18181818181818182,0.0,0,0,0,0,1
553,33,4,118082.89,1,0,0,0.12121212121212122,59041.445,0,1,0,1,1
667,31,1,119266.69,1,1,0,0.03225806451612903,59633.345,0,1,0,1,1
731,43,2,0.0,1,1,1,0.046511627906976744,0.0,0,0,0,1,2
629,35,7,156847.29,2,0,0,0.2,52282.43,0,1,0,1,1
614,50,4,137104.47,1,0,1,0.08,68552.235,0,1,0,1,2
438,31,8,78398.69,1,0,0,0.25806451612903225,39199.345,0,1,0,1,1
652,80,4,0.0,2,1,0,0.05,0.0,1,0,0,0,4
729,30,6,63669.42,1,0,0,0.2,31834.71,0,1,0,1,0
642,38,3,0.0,2,0,0,0.07894736842105263,0.0,0,0,0,1,1
806,59,0,135296.33,1,0,0,0.0,67648.165,0,1,0,0,3
744,36,2,153804.44,1,1,0,0.05555555555555555,76902.22,0,1,0,1,1
474,37,3,0.0,2,0,0,0.08108108108108109,0.0,0,0,0,1,1
559,49,2,147069.78,1,0,1,0.04081632653061224,73534.89,0,1,0,1,2
706,42,9,0.0,2,1,0,0.21428571428571427,0.0,0,0,0,1,2
628,22,3,0.0,1,0,0,0.13636363636363635,0.0,0,0,0,0,0
429,24,4,95741.75,1,0,0,0.16666666666666666,47870.875,0,1,0,1,0
525,57,2,145965.33,1,1,0,0.03508771929824561,72982.665,1,1,0,0,3
680,30,8,141441.75,1,1,0,0.26666666666666666,70720.875,0,1,0,0,0
749,40,1,139290.41,1,0,1,0.025,69645.205,0,1,0,1,1
763,31,4,0.0,2,0,0,0.12903225806451613,0.0,0,0,0,0,1
734,30,3,0.0,2,0,0,0.1,0.0,0,0,0,1,0
716,35,4,144428.87,1,0,0,0.11428571428571428,72214.435,0,1,0,1,1
594,35,2,0.0,2,0,0,0.05714285714285714,0.0,0,0,0,1,1
644,46,9,95441.27,1,0,1,0.1956521739130435,47720.635,0,1,0,0,2
671,35,1,144848.74,1,1,0,0.02857142857142857,72424.37,0,1,0,1,1
664,26,7,116244.14,2,1,0,0.2692307692307692,38748.04666666667,0,1,0,1,0
656,50,7,0.0,2,1,0,0.14,0.0,0,0,0,1,2
667,40,1,146502.07,1,0,0,0.025,73251.035,0,1,0,0,1
663,44,2,117028.6,2,1,0,0.045454545454545456,39009.53333333333,0,1,0,1,2
584,30,8,112013.81,1,0,1,0.26666666666666666,56006.905,0,1,0,0,0
626,37,6,108269.37,1,0,0,0.16216216216216217,54134.685,0,1,0,0,1
485,29,7,182123.79,1,0,1,0.2413793103448276,91061.895,0,1,0,1,0
659,32,3,150923.74,2,1,0,0.09375,50307.91333333333,0,1,0,0,1
649,33,2,0.0,2,0,0,0.06060606060606061,0.0,0,0,0,1,1
805,39,5,165272.13,1,0,1,0.1282051282051282,82636.065,0,1,0,0,1
716,39,10,115301.31,1,0,1,0.2564102564102564,57650.655,0,1,0,0,1
642,40,6,129502.49,2,1,1,0.15,43167.496666666666,0,1,0,0,1
659,31,4,118342.26,1,0,0,0.12903225806451613,59171.13,0,1,0,1,1
545,47,5,0.0,2,1,0,0.10638297872340426,0.0,0,0,0,0,2
543,22,8,0.0,2,0,0,0.36363636363636365,0.0,0,0,0,1,0
718,25,7,0.0,2,0,0,0.28,0.0,0,0,0,0,0
840,43,7,0.0,2,0,0,0.16279069767441862,0.0,0,0,0,0,2
630,34,9,106937.05,2,0,0,0.2647058823529412,35645.683333333334,0,1,0,0,1
643,59,3,170331.37,1,1,0,0.05084745762711865,85165.685,1,1,0,1,3
